Year;City;Daily mean
2017;Chemnitz;260.86
2018;Chemnitz;208.26
2019;Chemnitz;289.26
2020;Chemnitz;356.28999999999996
2021;Chemnitz;103.2
2022;Chemnitz;306.62
2023;Chemnitz;404.09999999999997
2024;Chemnitz;419.48
