Year;City;Daily mean
2017;Erfurt;259.78999999999996
2018;Erfurt;257.31
2019;Erfurt;303.78
2020;Erfurt;506.29999999999995
2021;Erfurt;193.7
2022;Erfurt;304.72
2023;Erfurt;454.46000000000004
2024;Erfurt;453.56
