Year;Chemnitz;Dortmund;Erfurt;Munich G;Nuremberg
2020;356.28999999999996;305.04;506.29999999999995;200.63000000000002;161.8
2021;103.2;478.59;193.7;241.10999999999999;130.55
2022;306.62;352.89000000000004;304.72;250.51;194.26999999999998
2023;404.09999999999997;547.65;454.46000000000004;315.82;271.59
2024;419.48;480.76;453.56;426.5;266.78999999999996
