Year,Metabolite,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
2016,MDMA,AT,Innsbruck,10.5,9.38,11.93,45.43,40.44,18.8,15.61,11.83,29.15,21.73
2016,MDMA,BE,Antwerp Deurne,62.56,44.34,40.1,41.04,48.29,45.63,20.94,42.61,43.77,43.27
2016,MDMA,BE,Antwerp Zuid,70.1,57.59,62.96,90.61,182.15,136.44,88.16,71.95,118.04,98.29
2016,MDMA,BE,Brussels,8.84,10.37,14.14,80.46,74.15,37.65,15.29,11.5,51.6,34.41
2016,MDMA,BE,Koksijde,04.09,1.83,3.97,05.05,15.9,5.43,3.96,3.29,7.59,5.75
2016,MDMA,BE,Oostende,14.05,11.62,10.63,13.3,21.51,12.83,9.91,11.86,14.57,13.41
2016,MDMA,CH,Basel,11.99,11.36,11.31,28.91,51.34,38,20.48,14.61,32.39,24.77
2016,MDMA,CH,Berne,8.52,7.36,10.53,25.38,41.94,26.92,16.2,10.69,26.19,19.55
2016,MDMA,CH,Geneva,11.84,11.47,20.16,66.43,64.71,,19.19,14.17,50.43,32.3
2016,MDMA,CH,Lugano,3.83,0.74,0.69,1.77,5.48,3.38,1.75,2.11,2.83,2.52
2016,MDMA,CH,Zurich,18.17,16.45,21.73,66.34,177.25,82.26,33.02,22.55,86.9,59.32
2016,MDMA,CY,Limassol,6.11,03.09,2.71,2.31,2.97,3.13,3.65,4.29,2.78,3.43
2016,MDMA,CZ,České Budějovice,8.59,8.72,6.15,10.85,45.57,35.22,14.47,10.59,24.45,18.51
2016,MDMA,DE,Dortmund,20.88,19.6,16.54,34.22,42.63,19.06,13.27,17.92,28.11,23.74
2016,MDMA,DE,Dresden,7.68,5.83,07.08,19.03,21.44,13.84,14.13,9.21,15.35,12.72
2016,MDMA,DE,Dülmen,7.5,09.09,12.85,24.93,19.22,13.45,11.35,9.31,17.61,14.06
2016,MDMA,DE,Munich G,11.65,10.18,50.64,41.97,13.37,26.09,14.74,12.19,33.02,24.09
2016,MDMA,ES,Barcelona,26.77,20.88,19.97,54.53,107.17,63.95,34.22,27.29,61.41,46.79
2016,MDMA,ES,Castellon,6.85,6.77,3.39,4.29,6.97,6.64,6.84,6.82,5.32,5.96
2016,MDMA,ES,Molina de Segura,0,0,0,0,0,0,0,0,0,0
2016,MDMA,ES,Santiago,1.28,3.65,4.89,7.6,7.84,4.27,1.67,2.2,6.15,4.46
2016,MDMA,ES,Valencia (3),3.63,2.86,3.61,7.57,14.46,9.31,6.83,4.44,8.74,6.9
2016,MDMA,FI,Espoo,7.32,8.9,13.91,54.59,96.9,29.02,12.35,9.52,48.6,31.86
2016,MDMA,FI,Helsinki,9.41,11.67,13.71,54.98,93.41,40.24,15.69,12.26,50.59,34.16
2016,MDMA,FI,Joensuu,2.7,08.01,2.62,3.42,7.5,5.47,2.21,4.31,4.75,4.56
2016,MDMA,FI,Jyväskylä,7.66,14,11.99,27.74,24.6,25.83,5.4,09.02,22.54,16.75
2016,MDMA,FI,Kotka,9.24,5.98,6.83,17.35,26.13,15.56,8.22,7.81,16.47,12.76
2016,MDMA,FI,Kuopio,4.98,4.11,13.36,20.54,30.17,14.5,6.26,5.11,19.64,13.42
2016,MDMA,FI,Lahti,6.46,15.41,11.53,23.95,34.73,23.85,9.89,10.58,23.51,17.97
2016,MDMA,FI,Lappeenranta,1.99,3.71,19.61,39.92,21.07,9.13,6.34,04.01,22.43,14.54
2016,MDMA,FI,Oulu,7.39,7.64,17.07,7.99,16.24,8.47,7.39,7.47,12.44,10.31
2016,MDMA,FI,Rovaniemi,7.12,4.29,4.92,26.11,26.14,21.27,10.08,7.16,19.61,14.27
2016,MDMA,FI,Savonlinna,15.12,7.81,6.86,25.63,47.65,25,15.3,12.74,26.29,20.48
2016,MDMA,FI,Tampere,15.49,20.48,22.41,43.47,52.83,24.55,10.32,15.43,35.82,27.08
2016,MDMA,FI,Turku,4.6,14.12,10.37,24.52,34.16,19.07,9.26,9.32,22.03,16.59
2016,MDMA,FI,Vaasa,11.71,12.43,12.68,37.43,33.73,15.42,7.28,10.47,24.82,18.67
2016,MDMA,FR,Bordeaux I,15.59,7.75,11.55,9.89,35.36,13.55,03.03,10.72,16.14,13.82
2016,MDMA,FR,Paris Seine Centre,5.64,9.69,25.2,44.2,17.1,11.6,6.66,7.33,24.53,17.16
2016,MDMA,GB,Bristol,4.29,13.28,13.83,84.84,162.01,55.25,25.03,14.2,78.98,51.22
2016,MDMA,GR,Athens,1.78,02.09,01.06,3.99,4.59,3.12,1.12,1.66,3.19,2.53
2016,MDMA,HR,Zagreb,19.84,14.24,13.72,72.78,122.52,68.26,33.21,22.43,69.32,49.22
2016,MDMA,IS,Reykjavik Klettagarðar,25.96,28.92,37.83,55.24,58.39,40.01,17.04,23.97,47.87,37.63
2016,MDMA,IT,Milan,1.74,1.41,1.59,6.32,12.05,5.45,2.57,1.91,6.35,4.45
2016,MDMA,NL,Eindhoven,102.17,95.31,47.44,93.78,251.47,171.1,118.91,105.46,140.95,125.74
2016,MDMA,NL,Utrecht,52.63,48.45,40,154.04,142.25,120.69,63.17,54.75,114.25,88.75
2016,MDMA,PT,Almada,2.54,1.55,0.7,4.56,4.67,4.71,0.87,1.65,3.66,2.8
2016,MDMA,PT,Lisbon,15.07,18.36,13.96,44.11,50.51,28.03,18.35,17.26,34.15,26.91
