0;1;2;3;4
2020.0;2021.0;2022.0;2023.0;2024.0
356.29;103.2;306.62;404.1;419.48
305.04;478.59;352.89000000000004;547.65;480.76
506.3;193.7;304.72;454.46;453.56
200.63;241.11;250.51;315.82;426.5
161.8;130.55;194.27;271.59;266.79
167.51;209.1;195.67;246.52;287.88
