Year;Metabolite;Site ID;Country;City;Wednesday;Thursday;Friday;Saturday;Sunday;Monday;Tuesday;Weekday mean;Weekend mean;Daily mean;Latitude;Longitude;Location;City;Country: City
2024;cocaine;BR023;BR;Porto Alegre (2 - 2024);1170.42;990.45;528.45;1011.06;1462.41;1311.38;1022.99;1066.47;1078.33;1073.45;-3.003.508;-5.121.767;"ETE Navegantes; ETE Serraria";Porto Alegre (2 - 2024);BR: Porto Alegre (2 - 2024)
2024;cocaine;BR024;BR;Recife;234.8;172.41;213.01;150.06;256.57;157.59;217.06;208.09;194.31;200.22;-805.756;-3.487.725;ETE Cabanga;Recife;BR: Recife
2024;cocaine;BR027;BR;Serraria;1222.57;990.45;510.51;1060.32;1643.05;1477.16;1118.81;1110.61;1172.76;1146.12;-3.016.618.358;-5.121.672.864;ETE Serraria;Serraria;BR: Serraria
2024;cocaine;BR030;BR;S∆o Luis;96;106.55;141.42;107.74;120.32;93.78;92.59;98.38;115.82;108.34;-2.524.851.182;-4.426.665.106;ETE Vinhais;S∆o Luis;BR: S∆o Luis
2024;cocaine;BR032;BR;S∆o Paulo (I-V);528.09;498.43;584.78;675.49;965.54;684.65;593.87;540.13;727.61;647.27;-2.355.156;-4.665.472;"ETE Suzano; ETE S∆o Miguel; ETE ABC; ETE Barueri; ETE Novo Mundo";S∆o Paulo (I-V);BR: S∆o Paulo (I-V)
2024;cocaine;CA001;CA;Kitchener;1148.6;1275.8;1318.68;1553.77;1760.93;1630.14;1743.16;1389.19;1565.88;1490.15;4.339.958.519;-8.042.359.899;Kitchener Waste Water Treatment Plant;Kitchener;CA: Kitchener
2024;cocaine;CA002;CA;Montreal;22. Mrz;22.27;Nov 85;15.33;15.66;Dez 42;Jun 43;17;13.82;15.18;4.567.099.142;-735.241.395;J.-R. Marcotte;Montreal;CA: Montreal
2024;cocaine;CH001;CH;Basel;481.33;587.09;715.32;615.34;724.16;331.48;531.67;533.36;596.57;569.48;47.56;Jul 59;ARA Basel;Basel;CH: Basel
2024;cocaine;CH002;CH;Berne;754.33;597.49;787.64;624.31;829.19;438.2;594.26;648.69;669.83;660.77;46.83;Jul 62;ARA Bern;Berne;CH: Berne
2024;cocaine;CH003;CH;Geneva;928.81;815.75;1010.39;1064.89;1060.63;772.16;772.26;838.94;977.02;917.84;46.2;Jun 17;STEP SIG;Geneva;CH: Geneva
2024;cocaine;CH008;CH;Zurich;1145.66;890.23;1193.53;1163.06;1372.65;1034.94;804.63;946.84;1191.05;1086.39;47.37;Aug 51;Werdhîlzli;Zurich;CH: Zurich
