;Year;City;Daily mean;Veränderung (%)
0;2017;Saarbrücken (2);218.44;
1;2018;Saarbrücken (2);222.53;1.8723676982237647
2;2019;Saarbrücken (2);188.63;-15.233901047049835
3;2020;Saarbrücken (2);188.15;-0.2544664157345
4;2021;Saarbrücken (2);243.44;29.386128089290466
5;2022;Saarbrücken (2);211.26;-13.21886296418009
6;2023;Saarbrücken (2);272.52;28.997443907980692
7;2024;Saarbrücken (2);316.23;16.03918978423604
