Year;Country;City;Wednesday;Thursday;Friday;Saturday;Sunday;Monday;Tuesday;Weekday mean;Weekend mean;Daily mean
2017;DE;Erfurt;35.38;37.81;50.65;78.38;56.58;39.3;41.81;38.33;56.23;48.56
2018;DE;Erfurt;42.92;40.39;46.67;61.61;59.08;43.48;28.18;37.16;52.71;46.05
2019;DE;Erfurt;39.38;36.93;43.57;76.79;75.01;51.97;40.53;38.95;61.83;52.03
2020;DE;Erfurt;54.33;56.05;;78.39;107.15;74.09;56.14;55.51;86.54;71.02
2021;DE;Erfurt;59.95;;68.8;113.91;89.0;78.33;68.52;65.76;92.56;81.07
2022;DE;Erfurt;47.33;84.58;53.12;130.48;120.26;66.56;45.81;59.24;92.61;78.31
2023;DE;Erfurt;99.11;80.6;100.49;154.1;195.71;119.84;90.41;90.04;142.54;120.04
2024;DE;Erfurt;103.43;95.11;101.15;153.83;175.85;101.3;99.7;99.42;133.03;118.62
