;Year;City;Daily mean;Veränderung (%)
0;2017;Nuremberg;126.54;
1;2020;Nuremberg;167.44;32.32179547969021
2;2021;Nuremberg;142.69;-14.781414237935975
3;2022;Nuremberg;200.42;40.45833625341648
4;2023;Nuremberg;297.46;48.418321524797925
5;2024;Nuremberg;282.23;-5.120016136623395
