;Year;City;Daily mean;Veränderung (%)
0;2017;Magdeburg;244.92;
1;2020;Magdeburg;342.48;39.833414992650674
2;2021;Magdeburg;284.41;-16.955734641438912
3;2022;Magdeburg;368.44;29.54537463520972
4;2023;Magdeburg;417.29;13.25860384323092
5;2024;Magdeburg;443.14;6.1947326799108415
