Year;City;Daily mean
2017;Magdeburg;244.92
2020;Magdeburg;342.48
2021;Magdeburg;284.41
2022;Magdeburg;368.43999999999994
2023;Magdeburg;417.28999999999996
2024;Magdeburg;443.14
