Year,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
2015,DE,Berlin (4),153.47,146.28,121.89,137.76,224.5,217.94,182.53,160.76,175.52,169.2
2015,DE,Dortmund,267.12,255.26,270.79,330.18,346.82,230.55,227.53,249.97,294.59,275.46
2015,DE,Dresden,06.01,6.23,6.88,8.87,12.62,07.01,7.28,6.51,8.84,7.84
2015,DE,Dülmen,12.65,17.63,22.62,41.91,45.88,23.83,,15.14,33.56,27.42
2015,DE,Munich G,21.63,,15.95,19.37,,25.97,51.11,36.37,20.43,26.8
2015,DK,Copenhagen,338.62,243.32,150.22,243.31,382.82,515.62,486.17,244.05,406.98,337.15
2015,ES,Barcelona,399.72,519.31,450.81,520.32,504.99,410.45,299.31,406.12,471.64,443.56
2015,ES,Castellon,55.6,117.54,303.96,124.64,122.84,81.29,80.64,84.59,158.18,126.64
2015,ES,Molina de Segura,220.46,235.35,173.62,188.84,311.77,276.39,223.03,226.28,237.66,232.78
2015,ES,Santiago,62.32,90.1,121.86,147.08,179.95,201.38,143.01,98.48,162.57,135.1
2015,ES,Valencia (3),255.57,243.95,279.94,469.77,380.28,355.82,371.3,290.27,371.45,336.66
2015,FI,Espoo,4.73,5.3,04.04,9.38,15.17,8.13,8.12,06.05,9.18,7.84
2015,FI,Helsinki,4.34,5.6,7.76,16.39,18.5,10.98,6.2,5.38,13.41,9.97
2015,FI,Tampere,5.49,4.21,4.87,5.9,5.63,5.79,3.53,4.41,5.55,05.06
2015,FI,Turku,0.65,0.95,1.17,0.75,0.74,0.94,0.73,0.78,0.9,0.85
2015,FR,Paris Seine Centre,126.95,146.26,186.04,239.9,192.55,139.87,99.36,124.19,189.59,161.56
2015,GB,Bristol,240.78,247.42,226.93,309.49,500.45,368.89,249.8,238.38,357.16,306.25
2015,GB,London,746.73,777.57,852.38,1238.8,1259.02,824.75,666.79,730.36,1043.74,909.43
2015,GR,Athens,48.43,57.24,68.29,89.56,76.25,48.63,52.8,52.82,70.68,63.03
2015,GR,Mytilene,0.26,0.91,0.19,1.11,9.28,4.3,2.52,1.23,3.72,2.65
2015,GR,Thessaloniki,5.79,7.98,7.57,7.87,9.21,11.83,17.42,10.4,9.12,9.67
2015,HR,Zagreb,92.69,90.69,94.53,102.09,145.14,96.9,81.27,88.22,109.66,100.47
2015,IS,Reykjavik Klettagarðar,51.6,62.01,69.81,50.53,60.45,53.67,56.83,56.81,58.62,57.84
2015,IT,Milan,191.62,171.84,187.85,199.91,217.25,289.45,184.9,183.77,222.88,206.12
2015,MT,Malta,25.67,87.55,68.29,92.09,67.62,66.62,71.27,61.5,73.66,68.45
2015,NL,Amsterdam,251.67,671.98,703.91,990.27,967.26,229.28,677.7,533.78,722.68,641.72
