Year;City;Daily mean
2014;Munich G;97.52
2015;Munich G;41.22
2016;Munich G;162.68
2017;Munich G;170.72
2018;Munich G;213.55
2019;Munich G;260.8
2020;Munich G;215.01000000000002
2021;Munich G;254.66
2022;Munich G;262.25
2023;Munich G;331.91999999999996
2024;Munich G;465.87
