Year;Country;City;Wednesday;Thursday;Friday;Saturday;Sunday;Monday;Tuesday;Weekday mean;Weekend mean;Daily mean
2017;DE;Saarbrücken (2);155.94;242.79;198.33;211.24;211.24;170.94;163.43;187.39;197.94;193.42
2018;DE;Saarbrücken (2);165.12;170.09;196.59;215.15;231.15;177.18;133.17;156.12;205.02;184.06
2019;DE;Saarbrücken (2);149.3;176.66;171.07;179.79;202.25;189.09;137.02;154.33;185.55;172.17
2020;DE;Saarbrücken (2);156.54;150.6;183.02;203.65;210.11;132.84;135.79;147.64;182.4;167.51
2021;DE;Saarbrücken (2);148.27;;187.87;228.45;235.19;198.07;220.47;185.54;224.22;207.64
2022;DE;Saarbrücken (2);208.82;171.56;145.06;188.92;235.96;223.91;195.46;191.95;198.46;195.67
2023;DE;Saarbrücken (2);227.85;231.07;227.84;263.29;289.36;230.6;244.36;234.43;252.77;244.91
2024;DE;Saarbrücken (2);219.95;267.09;280.96;318.27;396.49;280.96;251.46;246.17;319.17;287.88
