Year;City;Daily mean
2017;Nuremberg;112.88
2020;Nuremberg;161.8
2021;Nuremberg;130.55
2022;Nuremberg;194.26999999999998
2023;Nuremberg;271.59
2024;Nuremberg;266.78999999999996
