;Year;City;Daily mean;Veränderung (%)
0;2014;Dresden;146.16000000000005;
1;2015;Dresden;162.93;11.473727422003254
2;2016;Dresden;167.11;2.565518934511757
3;2017;Dresden;210.61;26.030758183232592
4;2018;Dresden;224.44;6.566639760695114
5;2019;Dresden;207.21;-7.676884690785957
6;2020;Dresden;260.59;25.761304956324494
7;2021;Dresden;184.08;-29.360297785793765
8;2022;Dresden;323.87;75.93980877879183
9;2023;Dresden;414.59;28.01123907740759
10;2024;Dresden;518.67;25.10431993053377
