,Year,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
0,2024,DE,Nuremberg,71.81,80.2,68.99,113.91,125.25,113.84,67.37,73.12,105.5,91.62
1,2023,DE,Nuremberg,76.04,73.52,84.55,159.19,148.37,106.76,77.47,75.68,124.72,103.7
2,2022,DE,Nuremberg,45.93,49.76,63.98,82.48,90.43,55.77,44.63,46.77,73.17,61.86
3,2021,DE,Nuremberg,47.23,,75.22,93.97,87.09,68.39,51.58,58.01,84.13,72.94
4,2020,DE,Nuremberg,"45685,00",34.54,37.72,48.99,51.38,36.17,30.89,31.15,43.56,38.24
5,2017,DE,Nuremberg,"52140,00","32325,00",23.52,"45833,00",29.86,19.97,"19968,00","46997,00",24.73,"45979,00"
