,Year,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
0,2024,DE,Chemnitz,43.23,51.46,78.6,67.7,"77,00",51.16,33.25,42.64,68.61,57.48
1,2023,DE,Chemnitz,44.54,49.59,57.76,72.94,88.58,42.01,48.89,47.67,65.32,57.76
2,2022,DE,Chemnitz,14.19,21.38,26.56,34.18,38.73,27.74,,17.78,"45900,00",27.13
3,2021,DE,Chemnitz,20.36,,"26724,00","45721,00",33.8,26.66,20.18,14.76,24.82,20.51
4,2020,DE,Chemnitz,20.99,18.99,"45710,00",33.38,39.45,37.58,18.77,19.58,33.15,27.34
5,2019,DE,Chemnitz,"26785,00","50710,00",14.43,25.79,"45889,00","49279,00","45903,00","26816,00",18.16,13.26
6,2018,DE,Chemnitz,"19268,00","51075,00","45766,00",13.23,15.53,"45907,00","53114,00","53206,00","45702,00","45820,00"
7,2017,DE,Chemnitz,"45795,00",26.63,17.47,26.16,22.76,14.85,"45916,00",20.26,20.31,20.29
