,Year,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
0,2024,DE,Magdeburg,174.74,186.1,211.9,298.6,338.14,196.22,179.12,179.99,261.21,226.4
1,2023,DE,Magdeburg,205.52,203.71,217.26,298.89,330.7,210.11,171.37,193.53,264.24,233.94
2,2022,DE,Magdeburg,135.5,196.46,171.62,243.12,269.12,222.38,184.02,171.99,226.56,203.17
3,2021,DE,Magdeburg,157.06,207.02,216.32,306.35,277.6,192.4,198.71,194.78,258.78,222.21
4,2020,DE,Magdeburg,158.58,166.37,155.88,208.78,179.87,223.04,173.02,165.99,191.89,180.79
5,2017,DE,Magdeburg,109.78,107.34,125.95,164.76,185.56,136.38,123.85,113.66,153.16,136.23
