,Year,Metabolite,Site ID,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
3309,2017,amphetamine,DE008,DE,Chemnitz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3310,2017,amphetamine,DE009,DE,Dortmund,131.8,150.1,156.78,171.61,267.9,148.74,154.2,145.37,186.26,168.73
3312,2017,amphetamine,DE011,DE,Dülmen,113.44,130.47,172.8,168.0,129.16,113.64,120.29,121.4,145.9,135.4
3313,2017,amphetamine,DE012,DE,Erfurt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3315,2017,amphetamine,DE018,DE,Hamburg N,48.42,59.38,61.77,76.13,65.52,56.48,72.77,60.19,64.97,62.92
3319,2017,amphetamine,DE026,DE,Munich G,21.08,17.04,22.22,33.2,32.86,28.35,23.94,20.69,29.16,25.53
3320,2017,amphetamine,DE028,DE,Nuremberg,32.34,26.66,47.29,52.54,51.58,49.21,31.94,30.31,50.15,41.65
3322,2017,amphetamine,DE030,DE,Saarbrücken (2),227.01,285.65,239.11,254.16,239.82,216.11,232.02,248.23,237.3,241.98
3323,2017,amphetamine,DE033,DE,Stuttgart,72.65,63.96,78.91,65.79,,73.68,64.61,67.08,72.79,69.94
3371,2017,cocaine,DE008,DE,Chemnitz,18.05,26.63,17.47,26.16,22.76,14.85,16.09,20.26,20.31,20.29
3372,2017,cocaine,DE009,DE,Dortmund,354.22,402.17,447.1,520.19,496.91,404.5,375.59,377.33,467.18,428.67
3374,2017,cocaine,DE011,DE,Dülmen,39.35,84.25,180.71,201.3,71.52,73.79,128.97,84.19,131.83,111.41
3375,2017,cocaine,DE012,DE,Erfurt,35.38,37.81,50.65,78.38,56.58,39.3,41.81,38.33,56.23,48.56
3377,2017,cocaine,DE018,DE,Hamburg N,215.17,246.56,256.9,349.49,321.75,259.05,255.52,239.08,296.8,272.06
3381,2017,cocaine,DE026,DE,Munich G,108.77,103.93,131.92,180.36,211.3,129.87,114.98,109.23,163.36,140.16
3382,2017,cocaine,DE028,DE,Nuremberg,10.42,7.88,23.52,25.6,29.86,19.97,9.54,9.28,24.73,18.11
3384,2017,cocaine,DE030,DE,Saarbrücken (2),155.94,242.79,198.33,211.24,211.24,170.94,163.43,187.39,197.94,193.42
3385,2017,cocaine,DE033,DE,Stuttgart,182.48,190.59,310.23,247.84,,202.01,167.74,180.27,253.36,216.82
3433,2017,methamphetamine,DE008,DE,Chemnitz,221.41,330.39,223.8,223.9,246.22,224.02,214.22,255.34,229.49,240.57
3434,2017,methamphetamine,DE009,DE,Dortmund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3436,2017,methamphetamine,DE011,DE,Dülmen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3437,2017,methamphetamine,DE012,DE,Erfurt,180.37,238.9,217.01,241.13,225.72,195.94,179.52,199.6,219.95,211.23
3439,2017,methamphetamine,DE018,DE,Hamburg N,2.46,3.12,2.74,2.86,3.07,2.41,3.46,3.01,2.77,2.87
3443,2017,methamphetamine,DE026,DE,Munich G,9.11,7.3,6.87,8.97,9.58,6.86,7.98,8.13,8.07,8.1
3444,2017,methamphetamine,DE028,DE,Nuremberg,75.19,66.59,108.38,117.42,115.05,99.52,81.23,74.34,110.09,94.77
3446,2017,methamphetamine,DE030,DE,Saarbrücken (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3447,2017,methamphetamine,DE033,DE,Stuttgart,5.82,5.49,6.65,6.36,,5.37,5.5,5.6,6.13,5.86
3491,2016,MDMA,DE009,DE,Dortmund,20.88,19.6,16.54,34.22,42.63,19.06,13.27,17.92,28.11,23.74
3493,2016,MDMA,DE011,DE,Dülmen,7.5,9.09,12.85,24.93,19.22,13.45,11.35,9.31,17.61,14.06
3494,2016,MDMA,DE026,DE,Munich G,11.65,10.18,50.64,41.97,13.37,26.09,14.74,12.19,33.02,24.09
3541,2016,amphetamine,DE009,DE,Dortmund,184.88,179.24,147.2,182.1,157.51,100.25,101.51,155.21,146.77,150.39
3543,2016,amphetamine,DE011,DE,Dülmen,110.21,149.13,199.6,206.08,226.85,185.26,161.65,140.33,204.45,176.97
3544,2016,amphetamine,DE026,DE,Munich G,22.51,26.08,34.99,28.71,23.13,26.0,21.77,23.45,28.21,26.17
3590,2016,cocaine,DE009,DE,Dortmund,487.4,538.96,465.1,504.23,450.16,227.3,272.01,432.79,411.7,420.74
3592,2016,cocaine,DE011,DE,Dülmen,47.47,82.31,92.06,113.78,109.0,85.01,58.81,62.87,99.96,84.07
3593,2016,cocaine,DE026,DE,Munich G,94.37,103.65,161.12,137.1,107.43,106.79,86.07,94.7,128.11,113.79
3641,2016,methamphetamine,DE009,DE,Dortmund,6.11,4.08,3.31,3.45,3.02,2.49,3.65,4.61,3.07,3.73
3643,2016,methamphetamine,DE011,DE,Dülmen,1.94,2.14,8.92,2.12,2.53,3.3,3.78,2.62,4.22,3.53
3644,2016,methamphetamine,DE026,DE,Munich G,13.2,13.1,50.07,39.92,14.48,25.98,16.87,14.39,32.61,24.8
3695,2015,MDMA,DE009,DE,Dortmund,9.07,9.32,10.37,23.97,34.05,18.82,10.43,9.61,21.8,16.58
3697,2015,MDMA,DE011,DE,Dülmen,2.71,3.48,3.44,15.72,11.19,5.43,,3.09,8.95,6.99
3698,2015,MDMA,DE026,DE,Munich G,5.58,,2.52,3.69,,8.16,16.26,10.92,4.79,7.24
3740,2015,amphetamine,DE009,DE,Dortmund,159.54,151.53,164.78,190.77,187.91,148.21,141.02,150.7,172.92,163.4
3742,2015,amphetamine,DE011,DE,Dülmen,41.55,44.53,46.22,99.54,77.21,63.86,,43.04,71.71,62.15
3743,2015,amphetamine,DE026,DE,Munich G,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
3786,2015,cocaine,DE009,DE,Dortmund,267.12,255.26,270.79,330.18,346.82,230.55,227.53,249.97,294.59,275.46
3788,2015,cocaine,DE011,DE,Dülmen,12.65,17.63,22.62,41.91,45.88,23.83,,15.14,33.56,27.42
3789,2015,cocaine,DE026,DE,Munich G,21.63,,15.95,19.37,,25.97,51.11,36.37,20.43,26.8
3834,2015,methamphetamine,DE009,DE,Dortmund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3836,2015,methamphetamine,DE011,DE,Dülmen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3837,2015,methamphetamine,DE026,DE,Munich G,3.49,,6.81,9.45,,7.61,8.52,6.0,7.96,7.18
3875,2014,MDMA,DE009,DE,Dortmund,10.55,8.04,3.69,10.96,10.04,13.26,22.23,13.61,9.49,11.25
3877,2014,MDMA,DE011,DE,Dülmen,2.07,3.22,7.43,8.32,17.41,15.1,13.02,4.24,13.46,9.51
3878,2014,MDMA,DE026,DE,Munich G,11.06,9.67,8.78,10.68,27.07,40.0,19.18,9.84,24.23,18.06
3918,2014,amphetamine,DE009,DE,Dortmund,143.93,145.79,173.37,181.3,91.48,85.25,146.89,145.54,132.85,138.29
3920,2014,amphetamine,DE011,DE,Dülmen,48.63,54.13,69.69,100.74,95.74,51.52,52.97,57.48,75.24,67.63
3921,2014,amphetamine,DE026,DE,Munich G,13.83,13.43,13.71,26.71,38.52,35.79,13.32,13.66,28.58,22.19
3961,2014,cocaine,DE009,DE,Dortmund,259.07,272.48,246.27,310.79,192.99,150.62,270.58,267.38,225.17,243.26
3963,2014,cocaine,DE011,DE,Dülmen,12.02,19.33,19.51,42.51,60.92,39.98,28.65,16.95,43.02,31.85
3964,2014,cocaine,DE026,DE,Munich G,80.77,74.15,64.73,75.85,130.12,125.25,5.33,73.22,84.14,79.46
4005,2014,methamphetamine,DE009,DE,Dortmund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4007,2014,methamphetamine,DE011,DE,Dülmen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4008,2014,methamphetamine,DE026,DE,Munich G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4050,2013,MDMA,DE009,DE,Dortmund,0.95,0.88,8.52,20.81,28.68,23.02,13.42,5.09,20.26,13.75
4052,2013,MDMA,DE011,DE,Dülmen,0.44,0.57,0.74,1.99,13.22,6.91,5.9,2.3,5.71,4.25
4087,2013,amphetamine,DE009,DE,Dortmund,88.26,80.78,83.97,119.61,92.07,93.3,87.58,85.54,97.24,92.22
4089,2013,amphetamine,DE011,DE,Dülmen,50.16,66.48,61.71,91.0,60.07,59.01,51.54,56.06,67.94,62.85
4119,2013,cannabis,DE009,DE,Dortmund,78.26,78.41,76.39,92.53,90.71,74.94,100.47,85.71,83.64,84.53
4121,2013,cannabis,DE011,DE,Dülmen,48.22,68.08,84.09,84.64,38.27,48.04,47.17,54.49,63.76,59.79
4150,2013,cocaine,DE009,DE,Dortmund,283.58,297.72,333.74,407.09,377.22,295.1,274.55,285.29,353.29,324.14
4152,2013,cocaine,DE011,DE,Dülmen,31.59,42.59,36.52,93.38,67.49,41.25,26.18,33.46,59.66,48.43
4187,2013,methamphetamine,DE009,DE,Dortmund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4189,2013,methamphetamine,DE011,DE,Dülmen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
