Year;City;Daily mean
2016;Dortmund;424.47
2017;Dortmund;428.67
2018;Dortmund;382.03
2019;Dortmund;374.78
2020;Dortmund;305.04
2021;Dortmund;478.59
2022;Dortmund;352.89000000000004
2023;Dortmund;547.65
2024;Dortmund;480.76
